game_id,who_won,move_number,white_pieces_remained,black_pieces_remained,kill_value_white,kill_value_black,white_move_sequence,black_move_sequence,move_made
b61b981c-e005-4064-8cc8-6feae75530b3,1,2,"[8, 1, 2, 2, 2]","[8, 1, 2, 2, 2]",0,0,d4,Nf6,c4
b61b981c-e005-4064-8cc8-6feae75530b3,1,3,"[8, 1, 2, 2, 2]","[8, 1, 2, 2, 2]",0,0,d4|c4,Nf6|e6,Nc3
b61b981c-e005-4064-8cc8-6feae75530b3,1,4,"[8, 1, 2, 2, 2]","[8, 1, 2, 2, 2]",0,0,d4|c4|Nc3,Nf6|e6|Be7,e4
b61b981c-e005-4064-8cc8-6feae75530b3,1,5,"[8, 1, 2, 2, 2]","[8, 1, 2, 2, 2]",0,0,d4|c4|Nc3|e4,Nf6|e6|Be7|O-O,Bd3
b61b981c-e005-4064-8cc8-6feae75530b3,1,6,"[8, 1, 2, 2, 2]","[8, 1, 2, 2, 2]",0,0,d4|c4|Nc3|e4|Bd3,Nf6|e6|Be7|O-O|d6,Nf3
b61b981c-e005-4064-8cc8-6feae75530b3,1,7,"[8, 1, 2, 2, 2]","[8, 1, 2, 2, 2]",0,0,d4|c4|Nc3|e4|Bd3|Nf3,Nf6|e6|Be7|O-O|d6|e5,O-O
b61b981c-e005-4064-8cc8-6feae75530b3,1,8,"[7, 1, 2, 2, 2]","[8, 1, 2, 2, 2]",0,1,d4|c4|Nc3|e4|Bd3|Nf3|O-O,Nf6|e6|Be7|O-O|d6|e5|exd4,Nxd4
b61b981c-e005-4064-8cc8-6feae75530b3,1,9,"[7, 1, 2, 2, 2]","[7, 1, 2, 2, 2]",1,1,d4|c4|Nc3|e4|Bd3|Nf3|O-O|Nxd4,Nf6|e6|Be7|O-O|d6|e5|exd4|c6,Bf4
b61b981c-e005-4064-8cc8-6feae75530b3,1,10,"[7, 1, 2, 2, 2]","[7, 1, 2, 2, 2]",1,1,d4|c4|Nc3|e4|Bd3|Nf3|O-O|Nxd4|Bf4,Nf6|e6|Be7|O-O|d6|e5|exd4|c6|Re8,h3
b61b981c-e005-4064-8cc8-6feae75530b3,1,11,"[7, 1, 2, 2, 2]","[7, 1, 2, 2, 2]",1,1,d4|c4|Nc3|e4|Bd3|Nf3|O-O|Nxd4|Bf4|h3,Nf6|e6|Be7|O-O|d6|e5|exd4|c6|Re8|Na6,Re1
